State,District,Year,Quarter,RegisteredUsers,S.no,Appopens
andhra-pradesh,"vizianagaram district",2021,1,681621,226,37752539
andhra-pradesh,"ysr district",2021,1,1032689,227,53525815
andhra-pradesh,"west godavari district",2021,1,1254117,228,57392671
andhra-pradesh,"chittoor district",2021,1,1751420,229,99083825
andhra-pradesh,"east godavari district",2021,2,2006272,230,84705076
andhra-pradesh,"srikakulam district",2021,2,837958,231,43740255
andhra-pradesh,"visakhapatnam district",2021,2,2526830,232,114313154
andhra-pradesh,"prakasam district",2021,2,1151232,233,76850749
andhra-pradesh,"anantapur district",2021,2,1492738,234,104568606
andhra-pradesh,"kurnool district",2021,2,1415585,235,81894678
andhra-pradesh,"guntur district",2021,2,1968681,236,88248064
andhra-pradesh,"krishna district",2021,2,2002662,237,85771678
andhra-pradesh,"spsr nellore district",2021,2,1176334,238,74049216
andhra-pradesh,"vizianagaram district",2021,2,729509,239,42684475
andhra-pradesh,"ysr district",2021,2,1103004,240,72255265
andhra-pradesh,"west godavari district",2021,2,1339377,241,65118788
andhra-pradesh,"chittoor district",2021,2,1870723,242,110505432
andhra-pradesh,"east godavari district",2021,3,2150622,243,103626560
andhra-pradesh,"srikakulam district",2021,3,902008,244,48622126
andhra-pradesh,"visakhapatnam district",2021,3,2707931,245,139540800
andhra-pradesh,"prakasam district",2021,3,1239147,246,91533813
andhra-pradesh,"anantapur district",2021,3,1606735,247,124985545
andhra-pradesh,"kurnool district",2021,3,1522196,248,101210508
andhra-pradesh,"guntur district",2021,3,2110878,249,106621413
andhra-pradesh,"krishna district",2021,3,2145423,250,104358295
andhra-pradesh,"spsr nellore district",2021,3,1263550,251,90102349
andhra-pradesh,"vizianagaram district",2021,3,784444,252,46277311
andhra-pradesh,"ysr district",2021,3,1183377,253,86369956
andhra-pradesh,"west godavari district",2021,3,1436576,254,80244808
andhra-pradesh,"chittoor district",2021,3,2007011,255,135043395
andhra-pradesh,"east godavari district",2021,4,2294347,256,142536856
andhra-pradesh,"srikakulam district",2021,4,965335,257,61654215
andhra-pradesh,"visakhapatnam district",2021,4,2888774,258,188757640
andhra-pradesh,"prakasam district",2021,4,1325728,259,86410317
andhra-pradesh,"anantapur district",2021,4,1719437,260,120768682
andhra-pradesh,"kurnool district",2021,4,1628242,261,97379271
andhra-pradesh,"guntur district",2021,4,2252443,262,130920743
andhra-pradesh,"krishna district",2021,4,2288148,263,134436469
andhra-pradesh,"spsr nellore district",2021,4,1349290,264,90814672
andhra-pradesh,"vizianagaram district",2021,4,839606,265,56101822
andhra-pradesh,"ysr district",2021,4,1262963,266,83534122
andhra-pradesh,"west godavari district",2021,4,1532898,267,100007280
andhra-pradesh,"chittoor district",2021,4,2141818,268,154395512
andhra-pradesh,"east godavari district",2022,1,2432305,269,87134562
andhra-pradesh,"srikakulam district",2022,1,1027283,270,46691467
andhra-pradesh,"visakhapatnam district",2022,1,3061324,271,88803090
andhra-pradesh,"prakasam district",2022,1,1408929,272,104851997
andhra-pradesh,"anantapur district",2022,1,1827094,273,155792533
andhra-pradesh,"kurnool district",2022,1,1729513,274,119653214
andhra-pradesh,"guntur district",2022,1,2387051,275,88844052
andhra-pradesh,"krishna district",2022,1,2423373,276,85871644
andhra-pradesh,"spsr nellore district",2022,1,1431664,277,101671767
andhra-pradesh,"vizianagaram district",2022,1,892889,278,44804002
andhra-pradesh,"ysr district",2022,1,1339782,279,98878499
andhra-pradesh,"west godavari district",2022,1,1626039,280,87642475
andhra-pradesh,"chittoor district",2022,1,2270705,281,144146671
andhra-pradesh,"east godavari district",2022,2,2564165,282,93383888
andhra-pradesh,"srikakulam district",2022,2,1086164,283,51087942
andhra-pradesh,"visakhapatnam district",2022,2,3226029,284,93552701
andhra-pradesh,"prakasam district",2022,2,1487589,285,108172758
andhra-pradesh,"anantapur district",2022,2,1928213,286,181499094
andhra-pradesh,"kurnool district",2022,2,1825280,287,136447455
andhra-pradesh,"guntur district",2022,2,2514794,288,91997209
andhra-pradesh,"krishna district",2022,2,2552107,289,95341487
andhra-pradesh,"spsr nellore district",2022,2,1509927,290,108755384
andhra-pradesh,"vizianagaram district",2022,2,943242,291,50230853
andhra-pradesh,"ysr district",2022,2,1412848,292,106157470
andhra-pradesh,"west godavari district",2022,2,1714357,293,103338893
andhra-pradesh,"chittoor district",2022,2,2392549,294,158771722
andhra-pradesh,"east godavari district",2022,3,2702234,295,85780890
andhra-pradesh,"srikakulam district",2022,3,1147016,296,46323107
andhra-pradesh,"visakhapatnam district",2022,3,3397514,297,87888969
andhra-pradesh,"prakasam district",2022,3,1567520,298,114185009
andhra-pradesh,"anantapur district",2022,3,2030824,299,181038520
andhra-pradesh,"kurnool district",2022,3,1924127,300,143715547
andhra-pradesh,"guntur district",2022,3,2647100,301,91146114
