State,District,Year,Quarter,RegisteredUsers,S.no,Appopens
assam,"goalpara district",2018,4,27280,950,0
assam,"biswanath district",2018,4,15480,951,0
assam,"jorhat district",2018,4,41100,952,0
assam,"tinsukia district",2019,1,51108,953,0
assam,"lakhimpur district",2019,1,31154,954,0
assam,"kamrup district",2019,1,54910,955,0
assam,"kokrajhar district",2019,1,21029,956,0
assam,"karbi anglong district",2019,1,20131,957,0
assam,"sivasagar district",2019,1,28059,958,0
assam,"dibrugarh district",2019,1,62656,959,0
assam,"south salmara mancachar district",2019,1,8674,960,0
assam,"nagaon district",2019,1,66306,961,0
assam,"dhubri district",2019,1,36652,962,0
assam,"golaghat district",2019,1,34918,963,0
assam,"udalguri district",2019,1,19336,964,0
assam,"majuli district",2019,1,4861,965,0
assam,"sonitpur district",2019,1,62218,966,0
assam,"hojai district",2019,1,23708,967,0
assam,"marigaon district",2019,1,26319,968,0
assam,"chirang district",2019,1,11867,969,0
assam,"cachar district",2019,1,64241,970,0
assam,"nalbari district",2019,1,24925,971,0
assam,"west karbi anglong district",2019,1,3720,972,0
assam,"dhemaji district",2019,1,24052,973,0
assam,"karimganj district",2019,1,29208,974,0
assam,"bongaigaon district",2019,1,29773,975,0
assam,"dima hasao district",2019,1,7915,976,0
assam,"baksa district",2019,1,24926,977,0
assam,"charaideo district",2019,1,15161,978,0
assam,"darrang district",2019,1,27070,979,0
assam,"kamrup metropolitan district",2019,1,255112,980,0
assam,"hailakandi district",2019,1,20697,981,0
assam,"barpeta district",2019,1,67729,982,0
assam,"goalpara district",2019,1,33006,983,0
assam,"biswanath district",2019,1,19050,984,0
assam,"jorhat district",2019,1,48594,985,0
assam,"tinsukia district",2019,2,60548,986,283819
assam,"lakhimpur district",2019,2,38140,987,171210
assam,"kamrup district",2019,2,65883,988,353221
assam,"kokrajhar district",2019,2,25095,989,120739
assam,"karbi anglong district",2019,2,24186,990,115110
assam,"sivasagar district",2019,2,33791,991,143808
assam,"dibrugarh district",2019,2,74342,992,328867
assam,"south salmara mancachar district",2019,2,10692,993,58308
assam,"nagaon district",2019,2,79322,994,381734
assam,"dhubri district",2019,2,43396,995,201797
assam,"golaghat district",2019,2,42168,996,177570
assam,"udalguri district",2019,2,23656,997,109522
assam,"majuli district",2019,2,6014,998,27261
assam,"sonitpur district",2019,2,73717,999,367930
assam,"hojai district",2019,2,28419,1000,131855
